;ID_natural;SMILES;NumAtoms;MolWt;MolLogp;HAcceptors;HDonors;RindCount;tpsa;RotableBonds;MolecularFormula
1844;SN0000911;COc1ccc(C2CC(=O)Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c32)cc1OCCc1ccc2c(c1)CCO2;45;608.168247096;5.582800000000006;10;3;7;144.89000000000001;7;C35H28O10
1845;SN0000911;COc1ccc([C@H]2CC(=O)Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c32)cc1OCCc1ccc2c(c1)CCO2;45;608.168247096;5.582800000000006;10;3;7;144.89000000000001;7;C35H28O10
1846;SN0000911;COc1ccc([C@@H]2CC(=O)Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c32)cc1OCCc1ccc2c(c1)CCO2;45;608.168247096;5.582800000000006;10;3;7;144.89000000000001;7;C35H28O10
1847;SN0000912;COC(=O)c1cc2c(O)ccc(O)c2cc1C(=O)OC;20;276.063388104;1.8241999999999998;6;2;2;93.06000000000002;2;C14H12O6
1848;SN0000914;COc1ccc(-c2c[nH]c(C3COCCN3Cc3nccn3C)n2)cc1;26;353.18517497600004;2.3923000000000005;6;1;4;68.2;5;C19H23N5O2
1849;SN0000914;COc1ccc(-c2c[nH]c([C@@H]3COCCN3Cc3nccn3C)n2)cc1;26;353.18517497600004;2.3923000000000005;6;1;4;68.2;5;C19H23N5O2
1850;SN0000917;COc1cc2c(cc1C(C)C)C(=O)CC1C(C)(C)CC(OC(C)=O)CC21C;27;372.23005950399994;5.030600000000004;4;0;3;52.6;3;C23H32O4
1851;SN0000917;COc1cc2c(cc1C(C)C)C(=O)C[C@H]1C(C)(C)C[C@@H](OC(C)=O)C[C@]21C;27;372.23005950399994;5.030600000000004;4;0;3;52.6;3;C23H32O4
1852;SN0000918;CCOc1c(C(N)=O)cn(C)c1-c1nc2cc(NC(=O)CC(C)C)ccc2n1C;29;397.211389724;3.0610000000000017;6;2;3;104.17000000000002;7;C21H27N5O3
1853;SN0000920;CCOC(=O)N1CCN(Cc2cc(=O)oc3cc(O)c(Cl)cc23)CC1;25;366.098249388;2.426100000000001;6;1;3;83.22;3;C17H19ClN2O5
1854;SN0000923;CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCC(C)CCC=C(C)COC(=O)CC1C(C(=O)OC)=COC(OC2OC(CO)C(O)C(O)C2O)C1=CC;66;944.3889236880002;-0.8098999999999916;22;8;4;322.41999999999996;20;C44H64O22
1855;SN0000923;C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCC(C)CC/C=C(\C)COC(=O)C[C@@H]1C(C(=O)OC)=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C1=C/C;66;944.3889236880002;-0.8098999999999916;22;8;4;322.41999999999996;20;C44H64O22
